Date,VNFIN,VNMAT,VNIND,VNHEAL,VNENE,VNCONS,VNCOND,VNUTI,VNIT,VNREAL
2016-06-06,0.980614531,1.118571117,0.940214482,1.054914911,1.296089062,0.986565567,1.085283446,0.98017905,0.896605127,0.959196854
2016-06-07,0.974673818,1.126070595,0.94190342,1.044312814,1.319330783,0.987865189,1.09622987,0.9735051,0.892291655,0.96769383
2016-06-08,0.977399764,1.14197208,0.946199102,1.039721598,1.335961266,0.99178177,1.090146002,0.970248618,0.891044356,0.963527434
2016-06-09,0.976887448,1.135776001,0.943541474,1.04370619,1.355590353,0.986392247,1.083388793,0.969093544,0.882758279,0.957861991
2016-06-10,0.96927785,1.144592175,0.950812844,1.09580204,1.338562143,0.988393878,1.090991343,0.972215167,0.885050129,0.952114762
2016-06-13,0.973748357,1.1502293,0.951602041,1.103627422,1.292729039,0.992494949,1.089242693,0.969803362,0.892956801,0.939863372
2016-06-14,0.97000462,1.174711833,0.949106998,1.11827068,1.297779117,0.989431303,1.101722017,0.975153126,0.891866394,0.94971458
2016-06-15,0.963382318,1.176357941,0.95679559,1.158176752,1.293706683,0.985295477,1.107747756,0.971643601,0.885888731,0.947609265
2016-06-16,0.961286781,1.174049338,0.962758602,1.166770651,1.262417867,0.988481995,1.121882551,0.994864952,0.889683462,0.950552734
2016-06-17,0.957432394,1.162519193,0.969301558,1.15673799,1.235010141,1.002729108,1.12728302,0.977069019,0.898651579,0.937375809
2016-06-20,0.949270458,1.167640323,0.971107446,1.150608143,1.294160783,0.99163546,1.142946057,0.995658095,0.935558553,0.947275119
2016-06-21,0.949267532,1.182292962,0.966464968,1.157802516,1.285270732,0.998964936,1.142818471,0.988789841,0.933200621,0.95170379
2016-06-22,0.947925494,1.190594061,0.975670901,1.182292772,1.300394405,1.001325043,1.158027577,0.989878897,0.929423282,0.933334474
2016-06-23,0.946083115,1.188147399,0.975390261,1.228067037,1.277254946,0.995381657,1.182564389,0.974615197,0.909516475,0.932386483
