date,UpVolume,TotalVolume,UpVolume_pct,Close
2010-01-04,0.0,42051600.0,0.0,517.05
2010-01-05,58516150.0,66619450.0,87.83643515519867,532.53
2010-01-06,32715450.0,64222280.0,50.940966281483625,534.46
2010-01-07,28323930.0,66287110.0,42.72916710352887,533.34
2010-01-08,16980370.0,76177100.0,22.290649027069815,520.9
2010-01-11,6019450.0,42904970.0,14.029726626076187,515.06
2010-01-12,3914830.0,50751560.0,7.713713627719029,498.31
2010-01-13,42598500.0,52968720.0,80.42199245139395,508.61
2010-01-14,14410320.0,33851840.0,42.56879389717073,512.33
2010-01-15,8107880.0,36355610.0,22.301592519008757,505.42
2010-01-19,1166130.0,32298020.0,3.6105309241866843,495.51
2010-01-20,3565540.0,30775080.0,11.585802538937347,489.5
2010-01-21,1655690.0,38873460.0,4.259178370024176,478.42
2010-01-22,10263700.0,27517620.0,37.29864719405239,477.59
2010-01-25,7305800.0,19454520.0,37.55322670515643,480.91
2010-01-26,30939870.0,32246580.0,95.94775632020513,497.9
2010-01-27,4865430.0,32131720.0,15.142139916568425,486.41
2010-01-28,3364010.0,20803730.0,16.170225243261665,481.76
2010-01-29,12504490.0,24187770.0,51.69757278161649,481.96
2010-02-01,15052400.0,20695680.0,72.73208708290812,486.95
2010-02-02,8678370.0,24044320.0,36.093222848473154,487.93
2010-02-03,16804920.0,24485310.0,68.63266178782298,495.48
2010-02-04,27266780.0,34272400.0,79.55900374645488,503.83
2010-02-05,4312370.0,31741600.0,13.585862086347253,493.04
2010-02-08,6428480.0,19118380.0,33.6246062689412,491.2
2010-02-09,716030.0,21152200.0,3.3851325157666814,482.89
2010-02-10,12650710.0,15468550.0,81.78342507862727,490.91
2010-02-11,5241240.0,18570470.0,28.223518306214114,499.94
2010-02-12,17615780.0,22150560.0,79.52747018585534,507.0
2010-02-22,8397590.0,19131920.0,43.89308548227256,510.02
2010-02-23,1850430.0,24352140.0,7.598634042018484,496.29
2010-02-24,11845270.0,24796880.0,47.76919515681005,494.59
2010-02-25,7171677.0,26741270.0,26.818759916787798,494.99
2010-02-26,20906630.0,31102610.0,67.21824952954108,496.91
2010-03-01,23692290.0,32389410.0,73.14826049625479,503.01
2010-03-02,6512380.0,34862300.0,18.680293612297525,501.0
2010-03-03,33799580.0,36152370.0,93.49201725917278,507.32
2010-03-04,31134940.0,47852720.0,65.06409666994895,511.91
2010-03-05,29507000.0,44095840.0,66.91560927289287,513.39
2010-03-08,40624020.0,53071450.0,76.54590179842458,521.12
2010-03-09,39077140.0,60441560.0,64.65276541505547,527.27
2010-03-10,20123820.0,55713450.0,36.12021872635782,525.67
2010-03-11,21604930.0,50966990.0,42.39004500756274,524.64
2010-03-12,37686360.0,53686140.0,70.19755937007204,531.51
2010-03-15,22608210.0,54199710.0,41.712787762148544,531.86
2010-03-16,4426880.0,64874240.0,6.823787068642345,516.08
2010-03-17,8312890.0,49838910.0,16.679518071322185,510.85
2010-03-18,35812250.0,44323480.0,80.79746897129918,519.73
2010-03-19,22479700.0,53468830.0,42.04262558204472,515.99
2010-03-22,14523070.0,39977520.0,36.3280913873597,511.58
2010-03-23,6205200.0,44044890.0,14.088353949799851,506.53
2010-03-24,33234310.0,43396280.0,76.58331543625398,512.12
2010-03-25,6345610.0,50206760.0,12.638955391664389,503.39
2010-03-26,23571940.0,47585270.0,49.53621152091813,505.3
2010-03-29,14237680.0,35472710.0,40.1369954536882,505.67
2010-03-30,18501610.0,47215800.0,39.185209188449626,500.72
2010-03-31,12572270.0,45231390.0,27.795453555594907,499.24
2010-04-01,32638480.0,41808030.0,78.06749086240131,508.18
2010-04-05,24299280.0,41859130.0,58.05013147669338,514.79
2010-04-06,30087350.0,66656790.0,45.13771215205533,515.33
2010-04-07,23917370.0,48659250.0,49.15277156963989,515.82
2010-04-08,26233560.0,54227900.0,48.37649991978299,515.93
2010-04-09,31503620.0,59536420.0,52.91487126703285,517.42
2010-04-12,18038750.0,52162000.0,34.58216709481998,519.93
2010-04-13,13221190.0,50547580.0,26.155930709244636,517.98
2010-04-14,12528300.0,42719810.0,29.326675376131124,516.21
2010-04-15,31629760.0,50686190.0,62.40311216921217,521.49
2010-04-16,29043340.0,59353900.0,48.932488008370136,522.03
2010-04-19,19289930.0,57018190.0,33.83118615305046,516.74
2010-04-20,14813320.0,54803770.0,27.029746311248292,515.2
2010-04-21,29174450.0,53769580.0,54.258281355368595,519.7
2010-04-22,45895620.0,77539180.0,59.19023131273764,529.31
2010-04-26,26469490.0,63178720.0,41.89621125594187,531.21
2010-04-27,20006110.0,54218510.0,36.89904056751098,535.72
2010-04-28,28167900.0,58029450.0,48.54069786978853,539.2
2010-04-29,41510060.0,72395920.0,57.33756819445074,542.37
2010-05-04,58133520.0,86332860.0,67.33649273289451,549.12
2010-05-05,25923190.0,82141870.0,31.559045344353613,548.01
2010-05-06,42521930.0,78206620.0,54.371266780229085,549.51
2010-05-07,33224610.0,105923800.0,31.366520083305165,542.03
2010-05-10,13477580.0,76286050.0,17.667161951628117,534.38
2010-05-11,22303170.0,65187810.0,34.21371265578641,534.36
2010-05-12,3765250.0,65495340.0,5.748882286892472,519.6
2010-05-13,15740020.0,54756390.0,28.745540018251752,518.93
2010-05-14,14654450.0,41332440.0,35.455080803359294,520.72
2010-05-17,4291740.0,51530730.0,8.328506116641469,511.27
2010-05-18,11078570.0,41803840.0,26.501321409707817,508.3
2010-05-19,941090.0,56689090.0,1.66009015138539,494.9
2010-05-20,38484780.0,53770960.0,71.57168107097213,503.55
2010-05-21,1446890.0,57087270.0,2.534523020631395,483.69
2010-05-24,23359890.0,38991860.0,59.90965806709401,486.19
2010-05-25,12827370.0,41290920.0,31.06583723491751,486.25
2010-05-26,26512890.0,37394010.0,70.90143581819655,492.69
2010-05-27,20149090.0,37365130.0,53.92484918425281,497.16
2010-05-28,52895600.0,56242530.0,94.04911194428843,512.99
2010-06-01,13094830.0,35911060.0,36.46461563651978,508.68
2010-06-02,14928970.0,37571380.0,39.73495250906408,510.74
2010-06-03,14128250.0,44546290.0,31.7158847571818,511.16
2010-06-04,15700420.0,45070860.0,34.834968758084486,510.37
2010-06-07,1264880.0,49305700.0,2.5653829070472582,496.89
2010-06-08,18487280.0,36309260.0,50.91615747608186,497.19
2010-06-09,9435320.0,31820080.0,29.652093897941175,497.56
2010-06-10,16009180.0,30797770.0,51.98162074721644,500.51
2010-06-11,23803230.0,38247450.0,62.23481565437696,504.29
2010-06-14,22905970.0,39350540.0,58.210052517703694,508.32
2010-06-15,20962240.0,44664500.0,46.9326646441805,508.01
2010-06-16,31613360.0,47970250.0,65.90201218463527,510.72
2010-06-17,17236510.0,44615300.0,38.633630167229626,510.76
2010-06-18,12107330.0,50875170.0,23.7981121242445,511.18
2010-06-21,28811560.0,46371750.0,62.13170734337178,514.75
2010-06-22,30546950.0,74762560.0,40.85861960853133,512.63
2010-06-23,25117830.0,44290230.0,56.71189786099553,512.82
2010-06-24,24010050.0,50351690.0,47.68469538956885,511.67
2010-06-25,11243380.0,50325960.0,22.341113810844345,505.12
2010-06-28,14161560.0,41239710.0,34.33962071993232,507.28
2010-06-29,18493140.0,41531730.0,44.52773818957216,510.71
2010-06-30,10241430.0,47489060.0,21.565872224044863,507.14
2010-07-01,12357940.0,40518620.0,30.499409900929496,504.02
2010-07-02,15503520.0,37498110.0,41.34480377811042,503.65
2010-07-06,9247356.0,45812930.0,20.185035098169884,500.82
2010-07-07,9351380.0,39397660.0,23.735876699276048,496.91
2010-07-08,12358030.0,36297140.0,34.04684225809527,498.55
2010-07-09,8870020.0,28816790.0,30.780735814086164,499.46
2010-07-12,14724870.0,28099180.0,52.403201801618415,499.93
2010-07-13,34653630.0,43469690.0,79.71906401909008,509.08
2010-07-14,17383530.0,49448520.0,35.154803419799016,507.34
2010-07-15,8610091.0,38760690.0,22.21346162826307,505.19
2010-07-16,18119940.0,43141430.0,42.00125030626013,506.21
2010-07-19,15553750.0,40064560.0,38.821716749166846,506.84
2010-07-20,17075740.0,42732900.0,39.959235156050724,506.56
2010-07-21,18290620.0,44177260.0,41.40279410719452,505.4
2010-07-22,7553920.0,45653210.0,16.54630638239896,500.28
