Date,Value
2001-11-23,2.012942e+008
2001-11-26,1.980395e+008
2001-11-28,1.942666e+008
2001-11-30,1.900694e+008
2001-12-03,1.855305e+008
2001-12-05,1.807221e+008
2001-12-07,1.757073e+008
2001-12-10,1.705411e+008
2001-12-12,1.652712e+008
2001-12-14,1.599392e+008
2001-12-17,1.545806e+008
2001-12-19,1.492261e+008
2001-12-21,1.439019e+008
2001-12-24,1.386301e+008
2001-12-26,1.334297e+008
2001-12-28,1.283161e+008
2001-12-31,1.233024e+008
2002-01-02,1.183992e+008
2002-01-04,1.13615e+008
2002-01-07,1.089564e+008
2002-01-09,1.044285e+008
2002-01-11,1.00035e+008
2002-01-14,9.577844e+007
2002-01-16,9.166015e+007
2002-01-18,8.768072e+007
2002-01-21,8.38399e+007
2002-01-23,8.01368e+007
2002-01-25,7.656997e+007
2002-01-28,7.313747e+007
2002-01-30,-4.30163e+008
2002-02-01,-3.583341e+008
2002-02-04,-2.951287e+008
2002-02-06,-2.396124e+008
2002-02-08,-6.90948e+008
2002-02-18,-5.733851e+008
2002-02-20,-4.700019e+008
2002-02-22,-3.792593e+008
2002-02-25,-2.997781e+008
2002-02-27,-2.303228e+008
2002-03-01,-1.697868e+008
2002-03-04,-1.171797e+008
2002-03-05,-7.161466e+007
2002-03-06,-3.22985e+007
2002-03-07,1478272
2002-03-08,3.035011e+007
2002-03-11,-4.451163e+008
2002-03-12,-3.494145e+008
2002-03-13,-2.658422e+008
2002-03-14,-1.930589e+008
2002-03-15,-1.298638e+008
2002-03-18,-7.518272e+007
2002-03-19,-2.805446e+007
2002-03-20,1.238048e+007
2002-03-21,-4.531095e+008
2002-03-22,-3.488379e+008
2002-03-25,-2.579416e+008
2002-03-26,-1.789354e+008
2002-03-27,-1.104905e+008
2002-03-28,-5.141766e+007
2002-03-29,-653312
2002-04-01,4.275347e+007
2002-04-02,7.965254e+007
2002-04-03,1.10803e+008
2002-04-04,1.368826e+008
2002-04-05,1.584963e+008
2002-04-08,1.761834e+008
2002-04-09,1.90425e+008
2002-04-10,-2.983506e+008
2002-04-11,-2.147618e+008
2002-04-12,-1.422197e+008
2002-04-15,-7.948512e+007
2002-04-16,-5.254496e+008
2002-04-17,-4.04122e+008
2002-04-18,-2.983662e+008
2002-04-19,-2.064532e+008
2002-04-22,-6.268355e+008
2002-04-23,-4.831279e+008
2002-04-24,-3.578424e+008
2002-04-25,-2.489341e+008
2002-04-26,-1.545729e+008
2002-05-02,-7.312115e+007
2002-05-03,-3114112
2002-05-06,5.675725e+007
2002-05-07,1.076636e+008
2002-05-08,1.506501e+008
2002-05-09,1.866504e+008
2002-05-10,2.164973e+008
2002-05-13,2.40934e+008
2002-05-14,-2.393774e+008
2002-05-15,-6.488466e+008
2002-05-16,-9.956987e+008
2002-05-17,-1.287279e+009
2002-05-20,-1.030143e+009
2002-05-21,-8.051415e+008
2002-05-22,-6.087393e+008
2002-05-23,-9.37772e+008
2002-05-24,-1.214406e+009
2002-05-27,-9.448561e+008
2002-05-28,-1.209666e+009
2002-05-29,-9.300311e+008
2002-05-30,-6.862927e+008
2002-05-31,-4.744648e+008
2002-06-03,-2.909798e+008
2002-06-04,-1.326451e+008
2002-06-05,-4.966057e+008
2002-06-06,-8.053092e+008
2002-06-07,-1.065224e+009
2002-06-10,-7.821248e+008
2002-06-11,-5.361649e+008
2002-06-12,-8.23188e+008
2002-06-13,-5.644767e+008
2002-06-14,-3.404564e+008
2002-06-17,-1.472166e+008
2002-06-18,1.873946e+007
2002-06-19,1.605384e+008
2002-06-20,4.017088e+008
2002-06-21,6.373563e+008
2002-06-24,8.356481e+008
2002-06-25,5.010098e+008
2002-06-26,2.123881e+008
2002-06-27,-3.544474e+007
2002-06-28,2.528353e+008
2002-07-01,4.980507e+008
2002-07-02,-2.947807e+008
2002-07-03,-4.711775e+008
2002-07-04,-6.196406e+008
2002-07-05,-7.434788e+008
2002-07-08,-8.45643e+008
2002-07-09,-4.287649e+008
2002-07-10,-5.701903e+008
2002-07-11,-1.882583e+008
2002-07-12,-3.607652e+008
2002-07-15,-5.064548e+008
2002-07-16,-6.284869e+008
2002-07-17,-2.296819e+008
2002-07-18,1.124449e+008
2002-07-19,4.044006e+008
2002-07-22,6.52001e+008
2002-07-23,8.604393e+008
2002-07-24,1.034352e+009
2002-07-25,1.177875e+009
2002-07-26,1.294699e+009
2002-07-29,1.388109e+009
2002-07-30,9.610342e+008
2002-07-31,1.09108e+009
2002-08-01,1.968142e+008
2002-08-02,4.312325e+008
2002-08-05,6.295043e+008
2002-08-06,2.958789e+008
2002-08-07,9149952
2002-08-08,-2.360495e+008
2002-08-09,-4.445143e+008
2002-08-12,-1.120529e+009
2002-08-13,-1.192919e+009
2002-08-14,-1.748848e+009
2002-08-15,-1.715423e+009
2002-08-16,-1.678268e+009
2002-08-19,-1.638109e+009
2002-08-20,-1.095582e+009
2002-08-21,-1.626244e+009
2002-08-22,-1.571828e+009
2002-08-23,-2.017444e+009
2002-08-26,-1.888358e+009
2002-08-27,-2.268548e+009
2002-08-28,-1.582268e+009
2002-08-29,-1.987587e+009
2002-08-30,-1.324196e+009
2002-09-03,-1.250377e+009
2002-09-04,-6.810084e+008
2002-09-05,-1.190794e+009
2002-09-06,-1.620707e+009
2002-09-09,-1.980179e+009
2002-09-10,-1.777627e+009
2002-09-11,-1.595555e+009
2002-09-12,-1.931908e+009
2002-09-13,-1.70983e+009
2002-09-16,-1.011403e+009
2002-09-17,-4.091914e+008
2002-09-18,-3.922545e+008
2002-09-19,-8.758124e+008
2002-09-20,-2.848753e+008
2002-09-23,-2.781993e+008
2002-09-24,2.288998e+008
2002-09-25,6.61324e+008
2002-09-26,1.027741e+009
2002-09-27,8.358886e+008
2002-09-30,1.676749e+008
2002-10-01,9.551462e+007
2002-10-02,5.333396e+008
2002-10-03,4.050132e+008
2002-10-04,2.932692e+008
2002-10-07,-3.037384e+008
2002-10-08,-3.12661e+008
2002-10-09,1.812731e+008
2002-10-10,1.026808e+008
2002-10-11,-4.650296e+008
2002-10-14,-9.48096e+008
2002-10-15,-1.356378e+009
2002-10-16,-1.198676e+009
2002-10-17,-1.057849e+009
2002-10-18,-9.321523e+008
2002-10-21,-1.32002e+009
2002-10-22,-1.645048e+009
2002-10-23,-1.914721e+009
2002-10-24,-2.135718e+009
2002-10-25,-1.813991e+009
2002-10-28,-2.029846e+009
2002-10-29,-1.704251e+009
2002-10-30,-1.417348e+009
2002-10-31,-1.664957e+009
2002-11-01,-1.86834e+009
2002-11-04,-1.53289e+009
2002-11-05,-1.238415e+009
2002-11-06,-9.804477e+008
2002-11-07,-2.549832e+008
2002-11-08,-1.334364e+008
2002-11-11,-2.884608e+007
2002-11-12,-4.392776e+008
2002-11-13,-2.88e+008
2002-11-14,-1.572173e+008
2002-11-15,4.553871e+008
2002-11-18,-2.311168e+007
2002-11-19,-4.321142e+008
2002-11-20,-2.796503e+008
2002-11-21,-1.478945e+008
2002-11-22,-3.450522e+007
2002-11-25,6.261606e+007
2002-11-26,-3.546586e+008
2002-11-27,-7.09654e+008
2002-11-28,-5.096284e+008
2002-11-29,-3.360579e+008
2002-12-02,-1.859745e+008
2002-12-03,4.432758e+008
2002-12-04,9.790692e+008
2002-12-05,4.32277e+008
2002-12-06,4.626086e+008
2002-12-09,4.862285e+008
2002-12-10,5.039926e+008
2002-12-11,5.166615e+008
2002-12-12,5.249096e+008
2002-12-13,5.293371e+008
2002-12-16,5.30476e+008
2002-12-17,5.287974e+008
2002-12-18,5.247183e+008
2002-12-19,1.018607e+009
2002-12-20,1.435789e+009
2002-12-23,1.2853e+009
2002-12-24,1.150206e+009
2002-12-25,1.02895e+009
2002-12-26,1.420131e+009
2002-12-27,1.247489e+009
2002-12-30,1.593644e+009
2002-12-31,1.381638e+009
2003-01-02,6.934643e+008
2003-01-03,6.01609e+008
2003-01-06,5.200645e+008
2003-01-07,4.477437e+008
2003-01-08,-1.1633e+008
2003-01-09,-9.803059e+007
2003-01-10,-8.18944e+007
2003-01-13,4.323113e+008
2003-01-14,-1.302042e+008
2003-01-15,-1.105044e+008
2003-01-16,-9.310874e+007
2003-01-17,-5.777695e+008
2003-01-20,1.073459e+007
2003-01-21,-4.861486e+008
2003-01-22,-4.085524e+008
2003-01-23,1.598351e+008
2003-01-24,6.450074e+008
2003-01-27,5.566042e+008
2003-01-28,4.782362e+008
2003-02-10,4.088404e+008
2003-02-11,8.474637e+008
2003-02-12,1.218248e+009
2003-02-13,1.029179e+009
2003-02-14,8.623772e+008
2003-02-17,7.154511e+008
2003-02-18,1.086251e+009
2003-02-19,1.397855e+009
2003-02-20,1.657286e+009
2003-02-21,1.870814e+009
2003-02-24,1.544026e+009
2003-02-25,1.256902e+009
2003-02-26,1.505126e+009
2003-02-27,7.098327e+008
2003-02-28,5.263071e+008
2003-03-03,-1.33238e+008
2003-03-04,-6.964838e+008
2003-03-05,-1.174576e+009
2003-03-06,-5.774717e+008
2003-03-07,-5.640604e+008
2003-03-10,-1.049774e+009
2003-03-11,-9.598098e+008
2003-03-12,-8.780913e+008
2003-03-13,-1.303831e+009
2003-03-14,-1.661321e+009
2003-03-17,-1.458667e+009
2003-03-18,-7.781048e+008
2003-03-19,-1.923331e+008
2003-03-20,3.094625e+008
2003-03-21,7.369516e+008
2003-03-24,5.987689e+008
2003-03-25,4.776294e+008
2003-03-26,8.716667e+008
2003-03-27,7.042109e+008
2003-03-28,1.057514e+009
2003-03-31,1.354301e+009
2003-04-01,1.601283e+009
2003-04-02,1.804446e+009
2003-04-03,1.469128e+009
2003-04-04,1.675085e+009
2003-04-07,1.342803e+009
2003-04-08,1.551988e+009
2003-04-09,1.223082e+009
2003-04-10,1.435751e+009
2003-04-11,1.610404e+009
2003-04-14,1.251681e+009
2003-04-15,9.387144e+008
2003-04-16,6.664343e+008
2003-04-17,9.303022e+008
2003-04-18,1.151258e+009
2003-04-21,3.344195e+008
2003-04-22,-3.656502e+008
2003-04-23,-9.623813e+008
2003-04-24,-1.467775e+009
2003-04-25,-1.392547e+009
2003-04-28,-1.321265e+009
2003-04-29,-1.253712e+009
2003-05-05,-1.189685e+009
2003-05-06,-1.128995e+009
2003-05-07,-5.714593e+008
2003-05-08,-5.919086e+008
2003-05-09,-1.106434e+009
2003-05-12,-1.040821e+009
2003-05-13,-9.795174e+008
2003-05-14,-9.222052e+008
2003-05-15,-8.685924e+008
2003-05-16,-8.184102e+008
2003-05-19,-7.71413e+008
2003-05-20,-7.273729e+008
2003-05-21,-1.86082e+008
2003-05-22,-2.223473e+008
2003-05-23,-7.522427e+008
2003-05-26,-7.015419e+008
2003-05-27,-6.546854e+008
2003-05-28,-1.11135e+009
2003-05-29,-4.962409e+008
2003-05-30,-4.678413e+008
2003-06-02,-9.412206e+008
2003-06-03,-8.412536e+008
2003-06-04,-1.251576e+009
2003-06-05,-1.096143e+009
2003-06-06,-1.457768e+009
2003-06-09,-7.59668e+008
2003-06-10,-1.158994e+009
2003-06-11,-1.494623e+009
2003-06-12,-7.741133e+008
2003-06-13,-1.154206e+009
2003-06-16,-9.734149e+008
2003-06-17,-1.313971e+009
2003-06-18,-1.098577e+009
2003-06-19,-9.089219e+008
2003-06-20,-1.242222e+009
2003-06-23,-5.20983e+008
2003-06-24,-4.017183e+008
2003-06-25,2.022615e+008
2003-06-26,2.176525e+008
2003-06-27,2.297242e+008
2003-06-30,2.388966e+008
2003-07-01,2.455442e+008
2003-07-02,2.500009e+008
2003-07-03,2.525609e+008
2003-07-04,2.534868e+008
2003-07-07,-2.469891e+008
2003-07-08,-6.736607e+008
2003-07-09,-3.509632e+007
2003-07-10,-4.889495e+008
2003-07-11,-3.745485e+008
2003-07-14,-2.748621e+008
2003-07-15,-6.882573e+008
2003-07-16,-1.038268e+009
2003-07-17,-1.332336e+009
2003-07-18,-1.577103e+009
2003-07-21,-1.778492e+009
2003-07-22,-1.441788e+009
2003-07-23,-1.146697e+009
2003-07-24,-8.886605e+008
2003-07-25,-6.635963e+008
2003-07-28,-4.678487e+008
2003-07-29,2.018552e+008
2003-07-30,2.734426e+008
2003-07-31,3.332823e+008
2003-08-01,3.827799e+008
2003-08-04,9.231854e+008
2003-08-05,8.806164e+008
2003-08-06,8.39817e+008
2003-08-07,1.300734e+009
2003-08-08,1.188315e+009
2003-08-11,1.586255e+009
2003-08-12,1.418563e+009
2003-08-13,1.768092e+009
2003-08-14,2.0581e+009
2003-08-15,2.295766e+009
2003-08-18,1.487492e+009
2003-08-19,1.288979e+009
2003-08-20,1.612807e+009
2003-08-21,1.381615e+009
2003-08-22,1.177039e+009
2003-08-25,9.962399e+008
2003-08-26,3.366761e+008
2003-08-27,-2.289349e+008
2003-08-28,-2.113871e+008
2003-08-29,-6.95327e+008
2003-09-03,-1.105619e+009
2003-09-04,-1.45089e+009
2003-09-05,-1.238843e+009
2003-09-08,-5.513485e+008
2003-09-09,-9.607834e+008
2003-09-10,-1.306046e+009
2003-09-11,-1.594717e+009
2003-09-12,-1.333556e+009
2003-09-15,-6.035958e+008
2003-09-16,-9.764618e+008
2003-09-17,-7.9038e+008
2003-09-18,-1.127328e+009
2003-09-19,-4.097812e+008
2003-09-22,-7.942308e+008
2003-09-23,-1.118964e+009
2003-09-24,-1.391016e+009
2003-09-25,-1.116664e+009
2003-09-26,-3.765115e+008
2003-09-29,-2.417981e+008
